info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_scheduled_protocol_feature_activations
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_supported_protocol_features
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_whitelist_blacklist
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/pause
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/paused
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/remove_greylist_accounts
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/resume
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/schedule_protocol_feature_activations
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/set_whitelist_blacklist
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/update_runtime_options
info  2021-04-19T22:28:36.734 nodeos    chain_api_plugin.cpp:105      plugin_startup       ] starting chain_api_plugin
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_info
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/abi_bin_to_json
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/abi_json_to_bin
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_abi
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_account
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_activated_protocol_features
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_block
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_block_header_state
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_code
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_code_hash
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_currency_balance
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_currency_stats
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_producer_schedule
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_producers
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_raw_abi
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_raw_code_and_abi
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_required_keys
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_scheduled_transactions
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_table_by_scope
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_table_rows
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_transaction_id
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/push_block
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/push_transaction
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/push_transactions
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/send_transaction
info  2021-04-19T22:28:36.735 nodeos    history_api_plugin.cpp:34     plugin_startup       ] starting history_api_plugin
info  2021-04-19T22:28:36.735 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/history/get_actions
info  2021-04-19T22:28:36.735 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/history/get_controlled_accounts
info  2021-04-19T22:28:36.735 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/history/get_key_accounts
info  2021-04-19T22:28:36.735 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/history/get_transaction
info  2021-04-19T22:28:36.735 nodeos    net_plugin.cpp:3481           plugin_startup       ] my node_id is 7e82f8f2c3e14a256f022869acde576eff591a3825c00ee5d2d7147feb3b64ef
info  2021-04-19T22:28:36.735 nodeos    net_plugin.cpp:3537           plugin_startup       ] starting listener, max clients is 25
info  2021-04-19T22:28:36.735 nodeos    http_plugin.cpp:821           operator()           ] start listening for http requests
info  2021-04-19T22:28:36.735 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/node/get_supported_apis
info  2021-04-19T22:28:36.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 508ffe4cf97063c0... #2 @ 2021-04-19T22:28:37.000 signed by eosio [trxs: 0, lib: 1, confirmed: 0]
info  2021-04-19T22:28:37.410 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block ff4f32662f894765... #3 @ 2021-04-19T22:28:37.500 signed by eosio [trxs: 22, lib: 2, confirmed: 0]
info  2021-04-19T22:28:37.912 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 742f9fea9f56346e... #4 @ 2021-04-19T22:28:38.000 signed by eosio [trxs: 4, lib: 3, confirmed: 0]
info  2021-04-19T22:28:38.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block ad6d2af0953b9826... #5 @ 2021-04-19T22:28:38.500 signed by eosio [trxs: 1, lib: 4, confirmed: 0]
info  2021-04-19T22:28:38.903 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block df2488991f231e7b... #6 @ 2021-04-19T22:28:39.000 signed by eosio [trxs: 47, lib: 5, confirmed: 0]
info  2021-04-19T22:28:39.405 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 012d3e845dec6413... #7 @ 2021-04-19T22:28:39.500 signed by eosio [trxs: 1, lib: 6, confirmed: 0]
info  2021-04-19T22:28:39.902 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 27880950f2117e0e... #8 @ 2021-04-19T22:28:40.000 signed by eosio [trxs: 0, lib: 7, confirmed: 0]
info  2021-04-19T22:28:40.400 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 4d827295551d415a... #9 @ 2021-04-19T22:28:40.500 signed by eosio [trxs: 0, lib: 8, confirmed: 0]
info  2021-04-19T22:28:40.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 00a0a6fa0172b7c2... #10 @ 2021-04-19T22:28:41.000 signed by eosio [trxs: 0, lib: 9, confirmed: 0]
info  2021-04-19T22:28:41.302 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block dcb2c968ed54545a... #11 @ 2021-04-19T22:28:41.500 signed by eosio [trxs: 0, lib: 10, confirmed: 0]
info  2021-04-19T22:28:41.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block bbec787f138195c9... #12 @ 2021-04-19T22:28:42.000 signed by eosio [trxs: 0, lib: 11, confirmed: 0]
info  2021-04-19T22:28:42.400 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 2737e3edd6dc0336... #13 @ 2021-04-19T22:28:42.500 signed by eosio [trxs: 0, lib: 12, confirmed: 0]
info  2021-04-19T22:28:42.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block e178dd9288ce59be... #14 @ 2021-04-19T22:28:43.000 signed by eosio [trxs: 0, lib: 13, confirmed: 0]
info  2021-04-19T22:28:43.400 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block dac7de8b1ad83f20... #15 @ 2021-04-19T22:28:43.500 signed by eosio [trxs: 0, lib: 14, confirmed: 0]
info  2021-04-19T22:28:43.900 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block da1db5ad0f362faa... #16 @ 2021-04-19T22:28:44.000 signed by eosio [trxs: 0, lib: 15, confirmed: 0]
info  2021-04-19T22:28:44.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 4d01280f9764e4e3... #17 @ 2021-04-19T22:28:44.500 signed by eosio [trxs: 0, lib: 16, confirmed: 0]
info  2021-04-19T22:28:44.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 5b6f5aece3b65566... #18 @ 2021-04-19T22:28:45.000 signed by eosio [trxs: 0, lib: 17, confirmed: 0]
info  2021-04-19T22:28:45.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block a48a16839272e9d6... #19 @ 2021-04-19T22:28:45.500 signed by eosio [trxs: 0, lib: 18, confirmed: 0]
info  2021-04-19T22:28:45.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block bda46718d08b54c3... #20 @ 2021-04-19T22:28:46.000 signed by eosio [trxs: 0, lib: 19, confirmed: 0]
info  2021-04-19T22:28:46.400 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 55974a0f8a2c9757... #21 @ 2021-04-19T22:28:46.500 signed by eosio [trxs: 0, lib: 20, confirmed: 0]
info  2021-04-19T22:28:46.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 057109db14e6bf52... #22 @ 2021-04-19T22:28:47.000 signed by eosio [trxs: 0, lib: 21, confirmed: 0]
info  2021-04-19T22:28:47.301 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block d87d053241981bc0... #23 @ 2021-04-19T22:28:47.500 signed by eosio [trxs: 0, lib: 22, confirmed: 0]
info  2021-04-19T22:28:47.900 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block d2d5f327cec90a1c... #24 @ 2021-04-19T22:28:48.000 signed by eosio [trxs: 0, lib: 23, confirmed: 0]
info  2021-04-19T22:28:48.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 29dd2a6b15bff779... #25 @ 2021-04-19T22:28:48.500 signed by eosio [trxs: 0, lib: 24, confirmed: 0]
info  2021-04-19T22:28:48.900 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 395e925ea8186a85... #26 @ 2021-04-19T22:28:49.000 signed by eosio [trxs: 0, lib: 25, confirmed: 0]
info  2021-04-19T22:28:49.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block c61869f0103eba9b... #27 @ 2021-04-19T22:28:49.500 signed by eosio [trxs: 1, lib: 26, confirmed: 0]
info  2021-04-19T22:28:49.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block cbe9408d10d28345... #28 @ 2021-04-19T22:28:50.000 signed by eosio [trxs: 0, lib: 27, confirmed: 0]
info  2021-04-19T22:28:50.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block f12648565d0dd8dc... #29 @ 2021-04-19T22:28:50.500 signed by eosio [trxs: 0, lib: 28, confirmed: 0]
info  2021-04-19T22:28:50.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block ade8ef79e1248704... #30 @ 2021-04-19T22:28:51.000 signed by eosio [trxs: 0, lib: 29, confirmed: 0]
info  2021-04-19T22:28:51.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block ea4457cae4f6bf57... #31 @ 2021-04-19T22:28:51.500 signed by eosio [trxs: 0, lib: 30, confirmed: 0]
info  2021-04-19T22:28:51.900 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block d1672652234d5b94... #32 @ 2021-04-19T22:28:52.000 signed by eosio [trxs: 0, lib: 31, confirmed: 0]
info  2021-04-19T22:28:52.401 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block a5214e6f53a946bc... #33 @ 2021-04-19T22:28:52.500 signed by eosio [trxs: 0, lib: 32, confirmed: 0]
info  2021-04-19T22:28:52.901 nodeos    producer_plugin.cpp:2224      produce_block        ] Produced block 0276fc41738fad62... #34 @ 2021-04-19T22:28:53.000 signed by eosio [trxs: 0, lib: 33, confirmed: 0]
